Country,GNI,InfantMortality,IncomeInequality,Life_expectancy_at_birth:_total,Household_net_saving_rates,Total_fertility_rates
Australia,45574.865,3.6,,82.2,9.7204619,1.88
Austria,47565.065,3.1,,81.2,7.3363532,1.44
Belgium,43982.738,3.5,,80.7,4.9848493,1.76
Canada,43675.684,3.1,,,4.9302916,1.61
Denmark,47163.608,3.5,,80.4,1.1855662,1.67
Finland,41091.494,1.8,5.5,81.1,1.5247788,1.75
France,39849.829,3.6,,82.3,9.0967282,1.98
Germany,45975.93,3.3,,80.9,9.1357129,1.41
Greece,26710.96,3.7,,81.4,-15.65148,1.3
Iceland,41799.645,1.8,,82.1,,1.93
Ireland,40595.364,3.5,,81.1,0.97410768,1.96
Italy,35426.699,2.9,,82.8,3.9107198,1.39
Japan,37968.378,2.1,,83.4,0.02859235,1.43
Luxembourg,62669.206,3.9,,81.9,,1.55
Netherlands,48913.894,3.8,6.6,81.4,7.3379132,1.68
New_Zealand,35489.705,3.1,,81.4,2.0983886,2.01
Norway,67491.165,2.4,,81.8,7.5940885,1.78
Portugal,27553.505,2.9,,80.8,-0.23950439,1.21
Sweden,46284.161,2.7,,82,15.067997,1.89
Switzerland,60464.801,3.9,,82.9,19.025552,1.52
United_Kingdom,38745.255,3.8,,81.1,-0.05144106,1.83
United_States,53942.734,3.1,18.8,78.8,4.923136,1.86
Israel,32734.647,3.1,14.9,82.1,,3.03
