Country,GNI,InfantMortality,IncomeInequality,Life_expectancy_at_birth:_total,Household_net_saving_rates,Total_fertility_rates
Australia,42370.741,3.8,3.8,82,11.066031,1.92
Austria,44187.925,3.6,3.5,81.1,7.8771554,1.43
Belgium,41475.389,3.4,3.3,80.7,6.5906125,1.81
Canada,40807.634,4.8,4.1,81.5,4.2772002,1.61
Denmark,44238.696,3.5,2.9,79.9,0.91465567,1.75
Finland,40433.519,2.4,3.2,80.6,1.3247381,1.83
France,38213.332,3.5,3.6,82.2,10.040931,2
Germany,44025.525,3.6,3.6,80.8,9.5639938,1.39
Greece,25899.267,3.4,4.8,80.8,-8.8634559,1.4
Iceland,34541.103,0.9,2.8,82.4,,2.02
Ireland,37618.079,3.5,3.8,80.8,3.5738016,2.04
Italy,35377.197,2.9,4.2,82.3,3.5982917,1.39
Japan,35399.987,2.3,3.7,82.7,2.6412911,1.39
Luxembourg,63275.5,4.3,3.4,81.1,13.568301,1.51
Netherlands,47236.861,3.6,3.3,81.3,5.7894651,1.76
New_Zealand,31188.227,5.2,4.2,81,2.5992714,2.09
Norway,63328.013,2.4,3,81.4,5.8016863,1.88
Portugal,26413.418,3.1,4.6,80.6,-0.92476289,1.35
Sweden,45015.67,2.1,3.4,81.9,12.727834,1.9
Switzerland,55078.658,3.8,3.7,82.8,17.837216,1.52
United_Kingdom,37037.748,4.2,4,81,3.3570447,1.91
United_States,50622.407,6.1,6.1,78.7,6.2292752,1.89
Israel,30183.786,3.5,6.2,81.7,,3
